Order_ID,Order_Date,Customer_ID,Product,Category,Region,City,Quantity,Unit_Price,Discount_Pct,Discount_Amount,Revenue,Cost,Profit,Payment_Mode,Profit_Margin
ORD03795,2024-07-21,CUST1800,Backpack,Accessories,East,Bhubaneswar,6,1800,10.0,1080.0,9720.0,5701.03,4018.97,Cash,41.35
ORD03371,2025-09-18,CUST2117,Sofa,Furniture,South,Kochi,2,25000,10.0,5000.0,45000.0,30747.79,14252.21,Net Banking,31.67
ORD06014,2025-07-11,CUST1367,Headphones,Electronics,East,Guwahati,2,2500,15.0,750.0,4250.0,2866.04,1383.96,Net Banking,32.56
ORD05804,2024-01-24,CUST2359,Microwave,Home Appliances,South,Bangalore,2,9000,0.0,0.0,18000.0,11805.32,6194.68,Cash,34.41
ORD08779,2024-09-17,CUST1156,Jeans,Clothing,North,Delhi,5,1800,5.0,450.0,8550.0,5163.67,3386.33,Debit Card,39.61
ORD09078,2024-03-26,CUST1370,Smartphone,Electronics,North,Delhi,7,25000,10.0,17500.0,157500.0,103214.18,54285.82,UPI,34.47
ORD03054,2025-04-03,CUST1497,T-Shirt,Clothing,East,Bhubaneswar,6,800,0.0,0.0,4800.0,3031.74,1768.26,Net Banking,36.84
ORD03289,2024-11-04,CUST1707,Smartphone,Electronics,North,Lucknow,7,25000,20.0,35000.0,140000.0,105752.8,34247.2,Credit Card,24.46
ORD02590,2025-01-08,CUST2999,Sofa,Furniture,South,Chennai,4,25000,15.0,15000.0,85000.0,54993.62,30006.38,Net Banking,35.3
ORD08058,2024-01-06,CUST2504,Jeans,Clothing,North,Chandigarh,6,1800,0.0,0.0,10800.0,8146.82,2653.18,Credit Card,24.57
ORD04588,2024-04-22,CUST2902,Electric Kettle,Home Appliances,East,Bhubaneswar,1,1800,5.0,90.0,1710.0,1250.74,459.26,Cash,26.86
ORD00034,2024-06-29,CUST1606,Sneakers,Clothing,South,Bangalore,5,3000,5.0,750.0,14250.0,11329.93,2920.07,UPI,20.49
ORD06389,2024-02-04,CUST2276,Sofa,Furniture,North,Delhi,4,25000,5.0,5000.0,95000.0,75676.14,19323.86,UPI,20.34
ORD07195,2025-03-29,CUST1984,Jacket,Clothing,North,Delhi,5,3500,5.0,875.0,16625.0,10806.61,5818.39,Credit Card,35.0
ORD08378,2024-08-17,CUST1708,Air Fryer,Home Appliances,North,Lucknow,2,7000,10.0,1400.0,12600.0,7786.89,4813.11,Debit Card,38.2
ORD04817,2024-05-12,CUST1980,Vacuum Cleaner,Home Appliances,West,Mumbai,2,8500,10.0,1700.0,15300.0,9685.95,5614.05,UPI,36.69
ORD00901,2024-11-06,CUST1536,Laptop,Electronics,East,Kolkata,5,55000,15.0,41250.0,233750.0,174171.28,59578.72,Debit Card,25.49
ORD00766,2024-12-23,CUST1162,Sneakers,Clothing,West,Ahmedabad,1,3000,0.0,0.0,3000.0,2307.85,692.15,Debit Card,23.07
ORD07551,2024-10-05,CUST2880,Sneakers,Clothing,North,Delhi,7,3000,10.0,2100.0,18900.0,14458.33,4441.67,Credit Card,23.5
ORD00734,2025-08-31,CUST1445,Jacket,Clothing,East,Bhubaneswar,1,3500,0.0,0.0,3500.0,2617.99,882.01,Net Banking,25.2
ORD05910,2024-03-18,CUST2175,Microwave,Home Appliances,West,Ahmedabad,7,9000,5.0,3150.0,59850.0,41326.92,18523.08,Debit Card,30.95
ORD00569,2024-10-06,CUST1916,Sunglasses,Accessories,South,Kochi,4,1500,10.0,600.0,5400.0,3708.04,1691.96,Debit Card,31.33
ORD01255,2024-09-20,CUST2684,Smart Watch,Electronics,East,Bhubaneswar,1,6000,0.0,0.0,6000.0,3685.25,2314.75,Debit Card,38.58
ORD09602,2025-11-14,CUST1787,Wallet,Accessories,South,Bangalore,1,1200,5.0,60.0,1140.0,890.27,249.73,Debit Card,21.91
ORD03616,2025-10-27,CUST2393,Hoodie,Clothing,South,Kochi,7,2200,10.0,1540.0,13860.0,7933.19,5926.81,Net Banking,42.76
ORD08354,2025-11-17,CUST2526,T-Shirt,Clothing,East,Guwahati,3,800,10.0,240.0,2160.0,1431.49,728.51,Cash,33.73
ORD05318,2024-01-03,CUST2945,Bookshelf,Furniture,South,Bangalore,2,7000,0.0,0.0,14000.0,10741.18,3258.82,Credit Card,23.28
ORD00040,2024-02-23,CUST2002,Wallet,Accessories,West,Pune,1,1200,0.0,0.0,1200.0,758.0,442.0,Cash,36.83
ORD09202,2024-02-23,CUST1527,Smartphone,Electronics,East,Bhubaneswar,4,25000,15.0,15000.0,85000.0,58068.22,26931.78,Debit Card,31.68
ORD03393,2024-12-06,CUST2055,Hoodie,Clothing,South,Chennai,6,2200,10.0,1320.0,11880.0,8139.44,3740.56,UPI,31.49
ORD05441,2025-05-13,CUST1348,Desk,Furniture,South,Kochi,1,12000,0.0,0.0,12000.0,7658.21,4341.79,UPI,36.18
ORD03929,2024-08-13,CUST1142,Wallet,Accessories,South,Chennai,4,1200,10.0,480.0,4320.0,3195.66,1124.34,Cash,26.03
ORD01414,2024-03-05,CUST2251,Mixer Grinder,Home Appliances,South,Bangalore,2,4500,0.0,0.0,9000.0,6949.45,2050.55,Debit Card,22.78
ORD05290,2024-09-02,CUST2495,Sofa,Furniture,North,Jaipur,2,25000,10.0,5000.0,45000.0,34548.18,10451.82,Debit Card,23.23
ORD09748,2025-06-07,CUST1270,Vacuum Cleaner,Home Appliances,South,Hyderabad,1,8500,5.0,425.0,8075.0,5448.22,2626.78,UPI,32.53
ORD09161,2024-09-05,CUST1805,Vacuum Cleaner,Home Appliances,South,Hyderabad,4,8500,5.0,1700.0,32300.0,18447.27,13852.73,Debit Card,42.89
ORD05182,2025-11-08,CUST1317,Laptop,Electronics,South,Kochi,4,55000,5.0,11000.0,209000.0,125007.62,83992.38,Debit Card,40.19
ORD05124,2024-11-03,CUST1627,Headphones,Electronics,North,Chandigarh,4,2500,5.0,500.0,9500.0,6998.22,2501.78,Credit Card,26.33
ORD06422,2024-11-04,CUST1633,Sneakers,Clothing,West,Mumbai,7,3000,5.0,1050.0,19950.0,11358.36,8591.64,Cash,43.07
ORD09437,2024-02-23,CUST1425,Electric Kettle,Home Appliances,East,Guwahati,7,1800,0.0,0.0,12600.0,8005.68,4594.32,UPI,36.46
ORD03127,2025-09-14,CUST2186,Wallet,Accessories,East,Patna,6,1200,5.0,360.0,6840.0,5309.16,1530.84,Credit Card,22.38
ORD08841,2025-05-21,CUST1275,Air Fryer,Home Appliances,North,Jaipur,4,7000,0.0,0.0,28000.0,18203.28,9796.72,Cash,34.99
ORD01958,2024-02-12,CUST2336,Bookshelf,Furniture,South,Chennai,1,7000,5.0,350.0,6650.0,4237.85,2412.15,Debit Card,36.27
ORD08970,2024-10-29,CUST1633,Phone Case,Accessories,West,Mumbai,1,600,10.0,60.0,540.0,382.35,157.65,Debit Card,29.19
ORD01184,2025-06-16,CUST2950,Desk,Furniture,East,Guwahati,1,12000,10.0,1200.0,10800.0,7654.92,3145.08,Net Banking,29.12
ORD09104,2024-02-25,CUST1682,Smart Watch,Electronics,North,Jaipur,7,6000,15.0,6300.0,35700.0,26592.36,9107.64,Debit Card,25.51
ORD04348,2025-06-12,CUST2947,Air Fryer,Home Appliances,North,Jaipur,4,7000,10.0,2800.0,25200.0,18423.86,6776.14,Net Banking,26.89
ORD00252,2025-10-09,CUST2791,Wallet,Accessories,West,Ahmedabad,4,1200,15.0,720.0,4080.0,3239.51,840.49,Credit Card,20.6
ORD01473,2025-06-07,CUST1721,Office Chair,Furniture,East,Bhubaneswar,6,8500,0.0,0.0,51000.0,31930.69,19069.31,Net Banking,37.39
ORD06224,2024-12-22,CUST2722,Wallet,Accessories,West,Goa,7,1200,5.0,420.0,7980.0,5337.61,2642.39,Net Banking,33.11
ORD05358,2024-09-28,CUST1013,Mixer Grinder,Home Appliances,East,Guwahati,3,4500,10.0,1350.0,12150.0,7642.5,4507.5,Debit Card,37.1
ORD00097,2025-11-03,CUST1901,Belt,Accessories,North,Chandigarh,5,900,10.0,450.0,4050.0,2687.45,1362.55,Unknown,33.64
ORD07809,2025-09-09,CUST1016,Jeans,Clothing,East,Bhubaneswar,5,1800,5.0,450.0,8550.0,4951.95,3598.05,Cash,42.08
ORD04793,2025-10-13,CUST2693,Phone Case,Accessories,East,Bhubaneswar,2,600,0.0,0.0,1200.0,760.35,439.65,Cash,36.64
ORD06484,2024-04-15,CUST2540,Sunglasses,Accessories,West,Mumbai,3,1500,20.0,900.0,3600.0,2824.55,775.45,Net Banking,21.54
ORD04170,2024-07-25,CUST2384,Air Fryer,Home Appliances,West,Ahmedabad,7,7000,5.0,2450.0,46550.0,29895.23,16654.77,Cash,35.78
ORD02393,2024-04-17,CUST2523,Laptop,Electronics,East,Patna,2,55000,5.0,5500.0,104500.0,81121.62,23378.38,Net Banking,22.37
ORD02445,2025-03-31,CUST1258,Microwave,Home Appliances,West,Ahmedabad,5,9000,5.0,2250.0,42750.0,32917.35,9832.65,Net Banking,23.0
ORD04885,2025-11-18,CUST1113,Belt,Accessories,South,Hyderabad,1,900,20.0,180.0,720.0,534.55,185.45,UPI,25.76
ORD01609,2024-03-26,CUST2239,Sneakers,Clothing,East,Bhubaneswar,5,3000,10.0,1500.0,13500.0,9786.01,3713.99,Debit Card,27.51
ORD00108,2024-05-09,CUST2434,Phone Case,Accessories,South,Hyderabad,4,600,10.0,240.0,2160.0,1562.73,597.27,UPI,27.65
ORD09878,2024-11-02,CUST2763,Sneakers,Clothing,East,Guwahati,2,3000,15.0,900.0,5100.0,3283.19,1816.81,Debit Card,35.62
ORD01218,2025-10-23,CUST1404,Sunglasses,Accessories,North,Delhi,4,1500,0.0,0.0,6000.0,3339.45,2660.55,Credit Card,44.34
ORD07493,2024-06-23,CUST1865,T-Shirt,Clothing,South,Bangalore,3,800,10.0,240.0,2160.0,1266.07,893.93,Unknown,41.39
ORD00304,2025-10-07,CUST2274,Sneakers,Clothing,South,Hyderabad,2,3000,10.0,600.0,5400.0,3726.59,1673.41,UPI,30.99
ORD09240,2025-02-24,CUST2802,Phone Case,Accessories,West,Ahmedabad,5,600,10.0,300.0,2700.0,1889.86,810.14,Cash,30.01
ORD02475,2025-05-03,CUST2822,Tablet,Electronics,South,Bangalore,1,18000,5.0,900.0,17100.0,10117.07,6982.93,Credit Card,40.84
ORD02336,2025-07-15,CUST1856,Phone Case,Accessories,East,Patna,7,600,5.0,210.0,3990.0,3158.52,831.48,Credit Card,20.84
ORD01072,2024-12-30,CUST2724,Dining Table,Furniture,North,Lucknow,6,22000,15.0,19800.0,112200.0,63243.9,48956.1,Net Banking,43.63
ORD01513,2025-01-04,CUST1546,Desk,Furniture,North,Chandigarh,5,12000,5.0,3000.0,57000.0,42821.41,14178.59,Debit Card,24.87
ORD00170,2024-03-24,CUST2797,Headphones,Electronics,East,Guwahati,5,2500,15.0,1875.0,10625.0,6572.13,4052.87,UPI,38.14
ORD01627,2024-02-19,CUST1998,Mixer Grinder,Home Appliances,East,Kolkata,5,4500,0.0,0.0,22500.0,15375.03,7124.97,Credit Card,31.67
ORD06005,2025-02-15,CUST2499,Electric Kettle,Home Appliances,East,Bhubaneswar,2,1800,10.0,360.0,3240.0,2521.64,718.36,Debit Card,22.17
ORD05326,2024-02-14,CUST2963,T-Shirt,Clothing,South,Hyderabad,1,800,20.0,160.0,640.0,443.64,196.36,Net Banking,30.68
ORD00577,2025-07-19,CUST2367,Headphones,Electronics,East,Patna,3,2500,15.0,1125.0,6375.0,4353.92,2021.08,UPI,31.7
ORD04048,2025-05-28,CUST2757,Sneakers,Clothing,North,Chandigarh,2,3000,0.0,0.0,6000.0,4076.43,1923.57,Net Banking,32.06
ORD08753,2024-07-01,CUST1018,Sofa,Furniture,North,Chandigarh,5,25000,10.0,12500.0,112500.0,80078.95,32421.05,Cash,28.82
ORD08141,2025-05-21,CUST2865,Tablet,Electronics,West,Pune,3,18000,15.0,8100.0,45900.0,32928.66,12971.34,UPI,28.26
ORD06146,2024-12-25,CUST2669,Headphones,Electronics,East,Kolkata,4,2500,5.0,500.0,9500.0,5334.08,4165.92,Net Banking,43.85
ORD01651,2025-05-25,CUST1560,Backpack,Accessories,West,Goa,6,1800,5.0,540.0,10260.0,7412.44,2847.56,Debit Card,27.75
ORD07518,2025-12-09,CUST1655,Desk,Furniture,East,Patna,1,12000,15.0,1800.0,10200.0,8082.41,2117.59,Net Banking,20.76
ORD01731,2024-12-01,CUST1049,Tablet,Electronics,South,Hyderabad,7,18000,20.0,25200.0,100800.0,66157.77,34642.23,Net Banking,34.37
ORD08601,2024-08-09,CUST1330,Wallet,Accessories,South,Hyderabad,7,1200,0.0,0.0,8400.0,4916.71,3483.29,Credit Card,41.47
ORD07064,2025-07-26,CUST2211,Phone Case,Accessories,North,Jaipur,3,600,15.0,270.0,1530.0,1100.15,429.85,UPI,28.09
ORD05285,2024-12-27,CUST1678,Hoodie,Clothing,West,Ahmedabad,2,2200,10.0,440.0,3960.0,2877.88,1082.12,Cash,27.33
ORD09730,2025-04-08,CUST2603,Electric Kettle,Home Appliances,South,Chennai,6,1800,10.0,1080.0,9720.0,7358.97,2361.03,Net Banking,24.29
ORD07741,2024-12-02,CUST1096,Tablet,Electronics,West,Goa,7,18000,5.0,6300.0,119700.0,84673.42,35026.58,Net Banking,29.26
ORD00322,2024-10-27,CUST1601,Phone Case,Accessories,South,Kochi,5,600,5.0,150.0,2850.0,2152.6,697.4,Cash,24.47
ORD09024,2024-04-27,CUST2829,Backpack,Accessories,East,Guwahati,4,1800,10.0,720.0,6480.0,3828.78,2651.22,Net Banking,40.91
ORD02192,2025-05-03,CUST1812,Sofa,Furniture,East,Bhubaneswar,4,25000,0.0,0.0,100000.0,77132.07,22867.93,Net Banking,22.87
ORD04152,2025-01-28,CUST2952,Electric Kettle,Home Appliances,West,Ahmedabad,1,1800,15.0,270.0,1530.0,860.35,669.65,UPI,43.77
ORD02974,2025-08-31,CUST1547,Microwave,Home Appliances,West,Ahmedabad,7,9000,5.0,3150.0,59850.0,46233.06,13616.94,UPI,22.75
ORD07876,2024-10-17,CUST1814,Sofa,Furniture,East,Kolkata,3,25000,10.0,7500.0,67500.0,52317.86,15182.14,UPI,22.49
ORD02488,2024-08-16,CUST1249,Hoodie,Clothing,South,Kochi,4,2200,5.0,440.0,8360.0,5215.74,3144.26,Credit Card,37.61
ORD07672,2025-04-24,CUST1282,Vacuum Cleaner,Home Appliances,East,Bhubaneswar,3,8500,0.0,0.0,25500.0,17348.16,8151.84,UPI,31.97
ORD00501,2024-12-14,CUST2278,Tablet,Electronics,West,Ahmedabad,3,18000,5.0,2700.0,51300.0,30460.95,20839.05,Net Banking,40.62
ORD00938,2025-02-23,CUST1756,Office Chair,Furniture,West,Mumbai,2,8500,20.0,3400.0,13600.0,8456.62,5143.38,Debit Card,37.82
ORD02626,2025-04-21,CUST1382,Wallet,Accessories,East,Kolkata,5,1200,0.0,0.0,6000.0,4270.86,1729.14,Cash,28.82
ORD04605,2025-01-11,CUST1158,Sneakers,Clothing,West,Mumbai,1,3000,20.0,600.0,2400.0,1744.3,655.7,Debit Card,27.32
ORD06018,2024-06-06,CUST2701,Sneakers,Clothing,South,Kochi,7,3000,5.0,1050.0,19950.0,13440.97,6509.03,Net Banking,32.63
ORD04788,2025-04-06,CUST2963,Jeans,Clothing,East,Bhubaneswar,4,1800,20.0,1440.0,5760.0,4381.76,1378.24,Cash,23.93
ORD00440,2024-05-18,CUST2721,Sunglasses,Accessories,West,Pune,7,1500,5.0,525.0,9975.0,5987.74,3987.26,Credit Card,39.97
ORD07552,2025-05-07,CUST1811,Headphones,Electronics,West,Ahmedabad,2,2500,10.0,500.0,4500.0,3257.94,1242.06,Net Banking,27.6
ORD00625,2025-10-15,CUST1833,T-Shirt,Clothing,South,Chennai,6,800,0.0,0.0,4800.0,2849.29,1950.71,UPI,40.64
ORD01509,2024-11-25,CUST1511,Bookshelf,Furniture,West,Goa,4,7000,0.0,0.0,28000.0,16294.98,11705.02,Debit Card,41.8
ORD09346,2024-04-03,CUST2414,Belt,Accessories,West,Goa,1,900,10.0,90.0,810.0,639.13,170.87,Net Banking,21.1
ORD08766,2024-08-05,CUST1117,Air Fryer,Home Appliances,South,Hyderabad,6,7000,5.0,2100.0,39900.0,25051.12,14848.88,UPI,37.22
ORD02535,2025-07-05,CUST1025,Backpack,Accessories,North,Chandigarh,6,1800,5.0,540.0,10260.0,7623.76,2636.24,UPI,25.69
ORD08889,2024-03-22,CUST1285,Desk,Furniture,West,Pune,7,12000,0.0,0.0,84000.0,60175.03,23824.97,UPI,28.36
ORD00656,2025-05-27,CUST1215,T-Shirt,Clothing,West,Ahmedabad,1,800,5.0,40.0,760.0,515.35,244.65,Cash,32.19
ORD03413,2025-06-14,CUST2026,Laptop,Electronics,East,Bhubaneswar,1,55000,0.0,0.0,55000.0,39992.47,15007.53,Debit Card,27.29
ORD07355,2024-05-13,CUST1936,Belt,Accessories,East,Patna,7,900,0.0,0.0,6300.0,4739.06,1560.94,Cash,24.78
ORD00519,2024-12-16,CUST1433,Mixer Grinder,Home Appliances,South,Kochi,2,4500,10.0,900.0,8100.0,5988.87,2111.13,Cash,26.06
ORD04990,2024-12-22,CUST2180,Tablet,Electronics,South,Chennai,2,18000,0.0,0.0,36000.0,25557.15,10442.85,Credit Card,29.01
ORD00347,2025-12-31,CUST1081,Tablet,Electronics,West,Mumbai,3,18000,15.0,8100.0,45900.0,34740.78,11159.22,Cash,24.31
ORD05131,2024-01-11,CUST1215,Microwave,Home Appliances,West,Ahmedabad,2,9000,10.0,1800.0,16200.0,12482.94,3717.06,Cash,22.94
ORD02305,2025-03-30,CUST2440,Jeans,Clothing,West,Goa,2,1800,0.0,0.0,3600.0,2543.67,1056.33,Cash,29.34
ORD02139,2024-02-21,CUST2003,Bookshelf,Furniture,North,Delhi,5,7000,0.0,0.0,35000.0,26335.35,8664.65,Net Banking,24.76
ORD00316,2025-10-26,CUST2745,Laptop,Electronics,East,Patna,6,55000,0.0,0.0,330000.0,184780.69,145219.31,Credit Card,44.01
ORD09364,2024-07-20,CUST2404,Microwave,Home Appliances,East,Patna,1,9000,5.0,450.0,8550.0,5528.15,3021.85,Credit Card,35.34
ORD00674,2024-06-28,CUST2759,Bookshelf,Furniture,North,Delhi,1,7000,10.0,700.0,6300.0,3698.9,2601.1,Debit Card,41.29
ORD02997,2024-11-07,CUST2460,Bookshelf,Furniture,South,Hyderabad,7,7000,0.0,0.0,49000.0,36341.06,12658.94,Credit Card,25.83
ORD09639,2025-03-25,CUST1239,Sunglasses,Accessories,North,Chandigarh,6,1500,5.0,450.0,8550.0,6792.86,1757.14,Cash,20.55
ORD03353,2024-05-11,CUST1356,Laptop,Electronics,North,Delhi,3,55000,10.0,16500.0,148500.0,102826.9,45673.1,Debit Card,30.76
ORD00484,2025-03-13,CUST2561,Dining Table,Furniture,South,Chennai,5,22000,15.0,16500.0,93500.0,65282.64,28217.36,UPI,30.18
ORD01684,2025-03-09,CUST1037,Electric Kettle,Home Appliances,East,Guwahati,6,1800,10.0,1080.0,9720.0,6960.43,2759.57,Credit Card,28.39
ORD08883,2025-11-17,CUST2991,Dining Table,Furniture,North,Delhi,6,22000,15.0,19800.0,112200.0,74353.62,37846.38,Net Banking,33.73
ORD09051,2024-01-06,CUST2881,T-Shirt,Clothing,North,Chandigarh,7,800,20.0,1120.0,4480.0,3057.7,1422.3,Credit Card,31.75
ORD07611,2024-05-25,CUST2154,Microwave,Home Appliances,South,Kochi,6,9000,0.0,0.0,54000.0,30767.55,23232.45,Debit Card,43.02
ORD08912,2025-03-01,CUST2382,Smart Watch,Electronics,East,Guwahati,3,6000,0.0,0.0,18000.0,10703.43,7296.57,Credit Card,40.54
ORD01124,2024-12-09,CUST1988,Sunglasses,Accessories,West,Mumbai,6,1500,0.0,0.0,9000.0,5136.84,3863.16,UPI,42.92
ORD05577,2024-07-17,CUST2315,Hoodie,Clothing,South,Chennai,6,2200,10.0,1320.0,11880.0,8853.38,3026.62,UPI,25.48
ORD06267,2025-04-17,CUST2627,Belt,Accessories,East,Kolkata,4,900,5.0,180.0,3420.0,2525.87,894.13,Credit Card,26.14
ORD01596,2024-01-31,CUST1161,Smartphone,Electronics,East,Patna,5,25000,10.0,12500.0,112500.0,77917.11,34582.89,Debit Card,30.74
ORD00762,2025-03-22,CUST1415,Hoodie,Clothing,North,Delhi,2,2200,15.0,660.0,3740.0,2358.83,1381.17,Cash,36.93
ORD08665,2024-07-14,CUST2766,Vacuum Cleaner,Home Appliances,West,Goa,1,8500,10.0,850.0,7650.0,5242.57,2407.43,Debit Card,31.47
ORD08350,2025-10-24,CUST2231,Bookshelf,Furniture,North,Chandigarh,7,7000,10.0,4900.0,44100.0,26229.46,17870.54,Credit Card,40.52
ORD07497,2024-04-03,CUST2908,Belt,Accessories,South,Chennai,2,900,20.0,360.0,1440.0,806.23,633.77,Debit Card,44.01
ORD02030,2024-08-11,CUST2351,Phone Case,Accessories,East,Patna,7,600,5.0,210.0,3990.0,2765.95,1224.05,Debit Card,30.68
ORD06836,2024-04-03,CUST2203,Dining Table,Furniture,West,Pune,3,22000,5.0,3300.0,62700.0,40054.49,22645.51,Debit Card,36.12
ORD03964,2024-09-05,CUST1692,Electric Kettle,Home Appliances,West,Ahmedabad,2,1800,5.0,180.0,3420.0,2653.45,766.55,Credit Card,22.41
ORD07499,2024-01-20,CUST1062,Vacuum Cleaner,Home Appliances,South,Hyderabad,5,8500,0.0,0.0,42500.0,29685.08,12814.92,Net Banking,30.15
ORD00260,2024-12-18,CUST1695,Sneakers,Clothing,South,Chennai,3,3000,10.0,900.0,8100.0,5057.54,3042.46,UPI,37.56
ORD03095,2025-09-08,CUST2065,Tablet,Electronics,North,Delhi,7,18000,5.0,6300.0,119700.0,80477.36,39222.64,Net Banking,32.77
ORD00953,2024-03-25,CUST1415,Office Chair,Furniture,East,Kolkata,3,8500,5.0,1275.0,24225.0,18507.45,5717.55,Debit Card,23.6
ORD09818,2024-04-09,CUST2500,Desk,Furniture,South,Chennai,1,12000,15.0,1800.0,10200.0,6683.96,3516.04,Net Banking,34.47
ORD04056,2025-02-15,CUST1205,Smartphone,Electronics,South,Chennai,1,25000,0.0,0.0,25000.0,16745.97,8254.03,Cash,33.02
ORD07287,2025-01-05,CUST1938,Smart Watch,Electronics,West,Ahmedabad,2,6000,0.0,0.0,12000.0,6868.42,5131.58,Cash,42.76
ORD00312,2024-11-19,CUST2058,Mixer Grinder,Home Appliances,South,Bangalore,1,4500,15.0,675.0,3825.0,2165.61,1659.39,Credit Card,43.38
ORD04694,2025-05-21,CUST1176,Backpack,Accessories,West,Pune,5,1800,0.0,0.0,9000.0,5549.39,3450.61,UPI,38.34
ORD02129,2025-05-11,CUST2329,Mixer Grinder,Home Appliances,West,Pune,2,4500,10.0,900.0,8100.0,4640.96,3459.04,Net Banking,42.7
ORD07208,2024-09-02,CUST1550,Sneakers,Clothing,North,Lucknow,4,3000,0.0,0.0,12000.0,9204.65,2795.35,Cash,23.29
ORD00933,2025-11-30,CUST2105,Phone Case,Accessories,South,Chennai,6,600,5.0,180.0,3420.0,2679.1,740.9,UPI,21.66
ORD00032,2025-04-25,CUST1452,Jacket,Clothing,West,Mumbai,6,3500,10.0,2100.0,18900.0,13808.59,5091.41,Cash,26.94
ORD00036,2025-10-24,CUST1961,Bookshelf,Furniture,East,Bhubaneswar,2,7000,10.0,1400.0,12600.0,7860.17,4739.83,UPI,37.62
ORD06097,2025-09-10,CUST1799,Air Fryer,Home Appliances,West,Pune,5,7000,5.0,1750.0,33250.0,20407.97,12842.03,Cash,38.62
ORD06557,2025-05-24,CUST2417,Laptop,Electronics,West,Mumbai,5,55000,5.0,13750.0,261250.0,208342.55,52907.45,Debit Card,20.25
ORD09229,2024-03-15,CUST2816,Smartphone,Electronics,East,Patna,7,25000,0.0,0.0,175000.0,109049.2,65950.8,UPI,37.69
ORD06602,2024-05-28,CUST2380,Jacket,Clothing,West,Ahmedabad,1,3500,10.0,350.0,3150.0,1893.95,1256.05,UPI,39.87
ORD08787,2025-01-31,CUST1773,Office Chair,Furniture,North,Jaipur,2,8500,0.0,0.0,17000.0,9730.17,7269.83,UPI,42.76
ORD06129,2025-10-16,CUST2192,Phone Case,Accessories,East,Bhubaneswar,3,600,0.0,0.0,1800.0,1315.78,484.22,Credit Card,26.9
ORD03379,2025-07-18,CUST1855,Backpack,Accessories,West,Mumbai,1,1800,15.0,270.0,1530.0,1062.76,467.24,Debit Card,30.54
ORD05383,2025-10-16,CUST1144,Desk,Furniture,West,Mumbai,4,12000,10.0,4800.0,43200.0,28413.59,14786.41,Net Banking,34.23
ORD02819,2024-06-15,CUST1139,Microwave,Home Appliances,South,Hyderabad,2,9000,0.0,0.0,18000.0,14040.07,3959.93,UPI,22.0
ORD04050,2025-06-10,CUST2546,Hoodie,Clothing,South,Bangalore,5,2200,15.0,1650.0,9350.0,6740.3,2609.7,Cash,27.91
ORD08222,2025-02-13,CUST1530,Headphones,Electronics,North,Delhi,2,2500,10.0,500.0,4500.0,3319.72,1180.28,Net Banking,26.23
